,timestamp,longitude,latitude,elevation,horizontal_accuracy,GPSspeed,yaw,pitch,roll,accelerationX,accelerationY,accelerationZ,pressure,compass,videoIndex,tripFrameIndex,gravityX,gravityY,gravityZ,OBD2speed,vertical_accuracy,bump
0,1529019253.0,-105.156575,39.987288,1715.1,18.1,12.119488,,,,,,,,,0.0,0.0,,,,,31.0,
1,1529019253.0,-105.156575,39.987288,1715.1,18.1,12.119488,,,,,,,,,,,,,,,31.0,0.08886761270766431
6,1529019253.993,-105.156582,39.987244,1713.4,18.1,17.645857,,,,,,,,186.0,,,,,,,31.0,0.11188448778928373
17,1529019254.997,-105.156586,39.9872,1712.5,18.1,18.577412,,,,,,,,183.0,,,,,,,31.0,
18,1529019254.997,-105.156586,39.9872,1712.5,18.1,18.577412,,,,,,,,183.0,1.0,1.0,,,,,31.0,0.12538119061570005
29,1529019255.997,-105.156576,39.987144,1712.4,18.1,15.277148,,,,,,,,172.0,2.0,2.0,,,,,31.0,
30,1529019255.997,-105.156576,39.987144,1712.4,18.1,15.277148,,,,,,,,172.0,,,,,,,31.0,0.17051022380491196
41,1529019256.997,-105.156567,39.987115,1713.6,18.1,9.782264,,,,,,,,165.0,,,,,,,30.9,
42,1529019256.997,-105.156567,39.987115,1713.6,18.1,9.782264,,,,,,,,165.0,3.0,3.0,,,,,30.9,0.154727935066985
53,1529019257.998,-105.15657,39.987102,1713.8,18.0,5.320796,,,,,,,,190.0,,,,,,,30.9,
54,1529019257.998,-105.15657,39.987102,1713.8,18.0,5.320796,,,,,,,,190.0,4.0,4.0,,,,,30.9,0.11936172166556705
65,1529019258.998,-105.156571,39.987095000000004,1713.9,18.0,1.896448,,,,,,,,185.0,,,,,,,30.9,
66,1529019258.998,-105.156571,39.987095000000004,1713.9,18.0,1.896448,,,,,,,,185.0,5.0,5.0,,,,,30.9,0.052704261128936655
77,1529019259.994,-105.156567,39.987087,1714.1,18.0,0.172236,,,,,,,,158.0,,,,,,,30.9,
78,1529019259.994,-105.156567,39.987087,1714.1,18.0,0.172236,,,,,,,,158.0,6.0,6.0,,,,,30.9,0.01975668326628385
89,1529019260.995,-105.15656200000001,39.987082,1713.9,18.0,0.312988,,,,,,,,141.0,,,,,,,30.9,
90,1529019260.995,-105.15656200000001,39.987082,1713.9,18.0,0.312988,,,,,,,,141.0,7.0,7.0,,,,,30.9,0.024926948728534633
